bw,loss,delay_c2_ms,udp_off_mean,iter,md5_hash_1,md5_hash_2,ttc1,ttc2,size1_bytes,size2_bytes,thr1_mbps,thr2_mbps,link_util,jfi 
100,0.0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,6.774973,6.789654,32317690,32317690,38.161261,38.078749,0.762400,0.999999
100,0.5,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,41.206484,42.024869,32317690,32317690,6.274292,6.152108,0.124264,0.999903
100,1.0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,57.092798,59.098139,32317690,32317690,4.528444,4.374783,0.089032,0.999702
100,1.5,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,72.412986,73.064859,32317690,32317690,3.570375,3.538521,0.071089,0.999980
100,2.0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,85.585604,88.405447,32317690,32317690,3.020853,2.924498,0.059454,0.999737
