time,cwnd
10.711,21713
10.711,21790
10.711,21866
10.711,21943
10.711,22019
10.712,22095
10.712,22170
10.712,22246
10.712,22321
10.713,22396
10.713,22470
10.713,22545
10.713,22619
10.713,22693
10.713,22766
10.773,19476
10.813,16041
10.832,8021
10.872,8229
10.898,4114
10.939,4521
10.993,2360
11.034,3068
11.128,2360
11.755,2360
11.795,3068
11.808,2360
11.849,3068
12.297,2360
12.338,3068
12.984,2360
13.025,3776
13.712,2360
13.752,3068
13.754,2360
13.794,3776
13.795,2360
13.836,3068
13.837,2360
13.878,3068
13.879,2360
13.919,3068
13.920,2360
13.961,3068
13.962,2360
14.002,3776
14.004,2360
14.051,3068
14.052,2360
17.055,2360
17.095,4484
17.136,4857
17.136,5201
17.136,5522
17.136,5825
17.177,6111
17.177,6385
17.177,6647
17.177,6898
17.177,7140
17.218,7374
17.218,7601
17.218,7821
17.218,8034
17.218,8242
17.218,8445
17.218,8643
17.259,8836
17.259,9025
17.259,9210
17.259,9392
17.259,9570
17.259,9744
17.260,9916
17.260,10084
17.300,10250
17.300,10413
17.300,10573
17.300,10731
17.300,10887
17.300,11041
17.300,11192
17.300,11341
17.300,11489
17.340,11634
17.340,11778
17.341,11919
17.341,12060
17.341,12198
17.341,12335
17.341,12471
17.341,12605
17.341,12737
17.341,12868
17.381,12998
17.381,13127
17.381,13254
17.381,13380
17.381,13505
17.382,13629
17.382,13751
17.382,13873
17.382,13993
17.382,14113
17.382,14231
17.422,14348
17.422,14465
17.422,14580
17.422,14695
17.422,14809
17.422,14922
17.422,15034
17.422,15145
17.422,15255
17.423,15365
17.423,15473
17.423,15581
17.423,15689
17.462,15795
17.462,15901
17.462,16006
17.463,16110
17.463,16214
17.463,16317
17.463,16419
17.463,16521
17.463,16622
17.463,16723
17.463,16823
17.463,16922
17.463,17021
17.463,17119
17.503,17217
17.503,17314
17.503,17410
17.503,17506
17.503,17602
17.503,17697
17.504,17791
17.504,17885
17.504,17978
17.504,18071
17.504,18164
17.504,18256
17.504,18347
17.504,18438
17.504,18529
17.543,18619
17.544,18709
17.544,18798
17.544,18887
17.544,18975
17.544,19064
17.544,19151
17.544,19238
17.544,19325
17.544,19412
17.544,19498
17.545,19584
17.545,19669
17.545,19754
17.545,19838
17.545,19923
17.584,20006
17.584,20090
17.585,20173
17.585,20256
17.585,20338
17.585,20421
17.585,20502
17.585,20584
17.585,20665
17.585,20746
17.586,20826
17.586,20907
17.586,20987
17.586,21066
17.586,21146
17.586,21225
17.586,21303
17.625,21382
17.625,21460
17.625,21538
17.625,21615
17.625,21693
17.626,21770
17.626,21846
17.626,21923
17.626,21999
17.626,22075
17.626,22151
17.626,22226
17.626,22301
17.626,22376
17.626,22451
17.627,22525
17.627,22600
17.627,22673
17.627,22747
17.682,22821
17.682,22894
17.682,22967
17.682,23040
17.682,23112
17.682,23184
17.682,23256
17.683,19820
18.427,48260
18.467,48398
18.594,24199
18.635,25166
18.880,12583
18.921,12716
19.247,6358
19.288,6621
19.764,3310
19.805,4320
20.492,2360
20.533,3776
20.685,2360
20.726,23600
20.913,11800
20.954,11942
20.955,5971
20.996,6810
20.997,3405
21.038,3896
21.039,2360
21.079,16520
21.120,16621
21.120,16722
21.121,16822
21.121,16921
21.121,17020
21.121,17118
21.121,17215
21.121,17313
21.121,17409
21.121,17505
21.121,17600
21.121,17695
21.121,17790
21.121,17884
21.161,17977
21.161,18070
21.161,18163
21.161,18255
21.161,18346
21.161,18437
21.161,18528
21.162,18618
21.162,18708
21.162,18797
21.162,18886
21.162,18974
21.162,19062
21.162,19150
21.162,19237
21.162,19324
21.213,19411
21.213,19497
21.213,19582
21.213,19668
21.214,19753
21.214,19837
21.214,19922
21.214,20005
21.214,20089
21.214,20172
21.214,20255
21.214,20337
21.214,20420
21.214,20501
21.214,20583
21.214,20664
21.214,20745
21.269,20826
21.270,20906
21.270,20986
21.270,21065
21.270,21145
21.270,21224
21.270,21302
21.270,21381
21.270,21459
21.271,21537
21.271,21614
21.271,21692
21.271,21769
21.271,21845
21.271,21922
21.271,21998
21.271,22074
21.271,22150
21.310,22225
21.310,22300
21.310,22375
21.311,22450
21.311,22524
21.311,22599
21.311,22673
21.311,22746
21.311,22820
21.311,22893
21.311,22966
21.311,23039
21.311,23111
21.312,23184
21.312,23256
21.312,23327
21.312,23399
21.312,23471
21.312,23542
21.351,23613
21.351,23683
21.351,23754
21.352,23824
21.352,23894
21.352,23964
21.352,24034
21.352,24104
21.352,24173
21.352,24242
21.353,24311
21.353,24380
21.353,24448
21.353,24517
21.353,24585
21.353,24653
21.353,24720
21.353,24788
21.353,24855
21.354,24923
21.392,24990
21.392,25057
21.392,25123
21.392,25190
21.392,25256
21.392,25322
21.392,25388
21.392,25454
21.393,25520
21.393,25585
21.393,25651
21.393,25716
21.393,25781
21.393,25845
21.393,25910
21.393,25975
21.393,26039
21.394,26103
21.394,26167
21.394,26231
21.394,26295
21.394,26358
21.432,26422
21.432,26485
21.432,26548
21.433,26611
21.433,26674
21.433,26736
21.433,26799
21.433,26861
21.433,26923
21.433,26985
21.433,27047
21.433,27109
21.433,27171
21.434,27232
21.434,27294
21.434,27355
21.434,27416
21.434,27477
21.434,27538
21.434,27598
21.434,27659
21.434,27719
21.434,27780
21.473,27840
21.473,27900
21.473,27960
21.473,28019
21.473,28079
21.473,28138
21.473,28198
21.474,28257
21.474,28316
21.474,28375
21.474,28434
21.474,28493
21.474,28552
21.474,28610
21.474,28668
21.474,28727
21.474,28785
21.475,28843
21.475,28901
21.475,28959
21.475,29016
21.475,29074
21.475,29131
21.475,29189
21.513,29246
21.514,29303
21.514,29360
21.514,29417
21.514,29474
21.514,29531
21.514,29587
21.514,29644
21.514,29700
21.514,29756
21.515,29812
21.515,29869
21.515,29924
21.515,29980
21.515,30036
21.515,30092
21.515,30147
21.515,30203
21.515,30258
21.515,30313
21.516,30368
21.516,30423
21.516,30478
21.516,30533
21.516,30588
21.554,30642
21.554,30697
21.554,30751
21.555,30806
21.555,30860
21.555,30914
21.555,30968
21.555,31022
21.555,31076
21.555,31130
21.555,31183
21.555,31237
21.555,31290
21.556,31344
21.556,31397
21.556,31450
21.556,31503
21.556,31557
21.556,31609
21.556,31662
21.556,31715
21.556,31768
21.556,31820
21.556,31873
21.557,31925
21.557,31978
21.595,32030
21.595,32082
21.595,32134
21.595,32186
21.595,32238
21.596,32290
21.596,32342
21.596,32393
21.596,32445
21.596,32496
21.596,32548
21.596,32599
21.596,32650
21.596,32702
21.597,32753
21.597,32804
21.597,32855
21.597,32905
21.597,32956
21.597,33007
