bw,loss,delay_c2_ms,udp_off_mean,iter,md5_hash_1,md5_hash_2,ttc1,ttc2,size1_bytes,size2_bytes,thr1_mbps,thr2_mbps,link_util,jfi 
100,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,6.788086,6.773755,32317690,32317690,38.087544,38.168126,0.762557,0.999999
100,0,10,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,7.033967,7.741442,32317690,32317690,36.756147,33.397075,0.701532,0.997713
100,0,15,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,6.213255,9.158581,32317690,32317690,41.611283,28.229428,0.698407,0.964587
100,0,20,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,6.208161,10.637939,32317690,32317690,41.645425,24.303723,0.659491,0.935326
100,0,25,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,6.209653,12.115594,32317690,32317690,41.635422,21.339566,0.629750,0.905906
