bw,loss,delay_c2_ms,udp_off_mean,iter,md5_hash_1,md5_hash_2,ttc1,ttc2,size1_bytes,size2_bytes,thr1_mbps,thr2_mbps,link_util,jfi 
100,0,5,1.5,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,73.848142,98.011009,32317690,32317690,3.500989,2.637882,0.061389,0.980616
100,0,5,0.8,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,164.532341,170.869728,32317690,32317690,1.571372,1.513091,0.030845,0.999643
100,0,5,0.5,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,285.702084,273.799524,32317690,32317690,0.904934,0.944273,0.018492,0.999548
