iteration,loss,delay,jitter,md5_hash,ttc
0,1,20,20,cc83be85db391e9396e1427b3e124968,51.539525747299194
0,1,20,40,cc83be85db391e9396e1427b3e124968,63.59702277183533
0,1,20,60,cc83be85db391e9396e1427b3e124968,76.82785177230835
0,1,20,80,cc83be85db391e9396e1427b3e124968,89.60892868041992
0,1,20,100,cc83be85db391e9396e1427b3e124968,99.51054072380066
